评论,向量
"回复 半夏 表态 帮忙 转发 扩散 亲身经历 转发 谢谢 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"支持 肺炎 疫苗 纳入 免疫 规划 更好 保护 儿童 健康 这位 政协委员 提案 谱 
",0.2178344702823324 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02885379557122042 0 0 0 0 0 0 0 0 0 0 0 
"回复 井井 表态 亲身经历 事情 希望 转发 一位 病患 家属 支持 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03757402856374755 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"疫苗 治病 省钱 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"信息 公开 透明 不信谣 传谣 做好 预防 过度 紧张 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025262666584745425 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"放心 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"万幸 双手 合十 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"信息 公开 透明 不信谣 传谣 做好 预防 过度 紧张 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025262666584745425 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"这次 不明 原因 肺炎 事件处理 信息 公开 客观 准确 点赞 
",0.2178344702823324 0 0 0 0 -0.06860868231106847 0 0 0 0 0 0 0 0.047415679111899894 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"女儿 肺炎 治愈 出院 还好 感冒 身为 真心 感谢 医疗 救治 专家 身边 传说 经历 非典 事件 没想到 快 控制 住 病情 希望 早日康复 在家 过个 
",0.2178344702823324 0 0 0 0 0 0 0 0 0 0.05216332868308129 0 0 0 0 0 0 0 0.04294174692999721 0 0 0 0 0 0 0 0 0.027616745704982505 0 0 0 0 0 0 0.024974635013583504 0 0 0 0 0 0.022930917828670013 0 0 0 0 0.0264727514508248 0 0 0 0 
"丙毒 聚到 巷港 春节 游 估计 悬 港服 关键 干止 暴制 乱 恢复 经济 信心 贰心 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"评论 真香 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"死 几千人 不见 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"评论 区 大型 翻车 现场 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"追查 十三年 深山老林 查下 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"港大 暴乱 内地 戒备 丝毫不差 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"大型 打脸 现场 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"一群 神经病 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"对待 病毒 口出狂言 放下 身段 
",0 0 0 0 0 0 -0.06384998274270502 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"操心 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"流感 重视 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"讲个 笑话 不明 性肺炎 生活 照样 过乡 岗 人人自危 事实 乡岗人 贪生怕死 没见 世面 
",0 0 0 0 0 -0.08919128700438901 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"内地 不明 原因 肺炎 信息 交流 通畅 社会 非常 想 媒体 报道 上带 有色眼镜 专业 素质 堪忧 
",0.2178344702823324 0 0 0 0 -0.06860868231106847 0 0 0 0 0 0 0 0.047415679111899894 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"乡 港人 少部分 爱国者 除外 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"报道 关键 在于 神秘 消息 早就 发出 第二个 国家 地区 高度重视 专业 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"逢 中必 反连 病毒 
",0 0 0 0 0 0 -0.06384998274270502 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"蟑螂 活动 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"人去 乡港 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"防范 意识 措施 无知 偏见 别双标 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"炒作 病毒 搞 人人自危 没见 死 病毒 可悲 反中 反共 
",0 0 0 0 0 0 -0.08706815828550685 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"无证据 可人 传染 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"回过头来 多么 可笑 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"艹 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"孙悟空 瘦 没心没肺 活 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"地方 井底之蛙 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"做好 卫生防护 加强锻炼 少去 人口 空气 流通 地方 以讹传讹 政府 科学 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"中医 试试 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"生命 珍贵 好事 确实 比止 暴制 乱 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"乡岗 假新闻 洗脑 死 好几千 想 抹黑 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"希望 公告 患病 重症 医学观察 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04100245460741267 0 0 0 0.034890169380622726 0 0.0333203301372304 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"在院 患者 病情 稳定 
",0 0 -0.09578674682910653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.022930917828670013 0 0 0 0 0 0 0 0 0 
"转发 微博 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"冰雪 奇缘 艾莎 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"减肥 偷懒 希望 公告 患病 重症 医学观察 发现 不明 原因 肺炎 不明 原因 肺炎 病原体 冠状病毒 名 不明 原因 病毒性 肺炎 患者 出院 通报 不明 原因 肺炎 
",0.2178344702823324 0.13757941859903916 -0.13410144556074913 0 0 -0.09605215523549585 0 0 0.05362632495642442 0 0.05216332868308129 0.04923757911955359 0 0.047415679111899894 0.04100245460741267 0 0 0 0.034890169380622726 0.03351384540645546 0.0333203301372304 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"表现 肺炎 急性 呼吸系统 综合征 疾病 早期 发热 干咳 超过 胸闷 气促 表现 呼吸困难 白细胞 总数 降低 均 胸部 影像学 发现 不明 原因 肺炎 不明 原因 肺炎 病原体 冠状病毒 通报 不明 原因 肺炎 
",0.2178344702823324 0.13757941859903916 0 0 0 -0.10977389169770956 0 0 0 0 0 0.04923757911955359 0 0.047415679111899894 0 0 0 0 0 0.03351384540645546 0 0 0 0 0 0 0 0 0 0 -0.042013988213780634 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.03229792848402246 0 
"坏 蠢 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"延长 产假 紧急 正事 不干 整天 就会 弄些 鸡毛蒜皮 小事 邀功 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"大陆 态度 老实 两派 没什么 统计学 差异 越来越 事实 证明 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"这位 葛 议员 欢腾 好感 慢慢 消失 木有 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"民主 玩 玩 就别 玩 咯 民主 社会 懂得 民主 真谛 东西 更要 反对 民主 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"臭港 就让 臭 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"暴力 没止 会为 妇女 产假 延长 条例 不轻 到处 暴力革命 搞 鸡 八毛 条例 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"太惯 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"高贵 怕死 一类 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"建制 派 团结 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"岁 月 女宝 咳嗽 低烧 上午 南苑 环球 卓正 医生 怀疑 支原体 感染 肺炎 雾化 药 好转 阿奇 郝 医生 这篇 顿时 困惑 打电话 诊所 接电话 接诊 孩子 线上 咨询 盼 回复 
",0.2178344702823324 0 0 0 0.07781432492481648 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"谢谢 郝 医生 公众 号 留言 搞 明白 这篇 详细 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"郝 医生 请问 支原体 肺炎 恢复期 指 采集 恢复期 样本 
",0.2178344702823324 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"肺炎 支原体 导致 鼻窦炎 建议 抗生素 治疗 情况 鼻窦炎 自愈 
",0.2178344702823324 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.039764968224214076 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"阿奇 霉素 耐药 治不好 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"五周岁 男孩儿 咳嗽 一周 鼻塞 发热 医院 拍 胸片 查 血项 支原体 阳性 回家 吃 三天 阿奇 节骨眼 肺炎 糟心 三天 好转 还要 吃 阿奇 
",0.2178344702823324 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.027101419745684474 -0.026258742633612893 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"我家 岁月 女孩 基本上 每次 支原体 阳性 确诊 支原体 感染 肺炎 月 医院 第二次 每次 干咳 整晚 整晚 输 阿奇 霉素 发病 五六天 输 头孢 改善 网上 查到 头孢 支原体 真不知道 情况 引发 咳嗽 
",0.2178344702823324 0 0 0 0.08893065705693314 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.027101419745684474 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"郝 医生 您好 岁 男孩 反复 高烧 星期 高度 咳嗽 检查 支原体 感染 阿奇 霉素 输液 第一次 输液 退烧 反复 第二天 脸 肿痛 检查 口腔 小孩 睾丸 肿痛 连续 输液 三天 改 吃 头孢 消炎药 脸 睾丸 好转 
",0 0 0 0 0.07225615885875816 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"成年人 一年 感冒 吃药 三年 肺炎 两次 抵抗力 不好 
",0.2178344702823324 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"感觉 医生 明白 经验性 治疗 开上 阿奇 霉素 经验性 治疗 就行了 医生 经验性 治疗 开阿奇 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04828603284368852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"新华社 早知 天下事 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"转发 微博 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"新华社 早知 天下事 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"新华社 早知 天下事 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"新华社 早知 天下事 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"新华社 早知 天下事 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"新华社 早知 天下事 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"新华社 早知 天下事 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"新华社 早知 天下事 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"新增 吓人 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02076389073281384 0 0 
"这波 肺炎 变异 病毒 肠道 发生 海鲜 市场 起因于 野味 
",0.2178344702823324 0 0 0 0 0 -0.06384998274270502 0 0 0 0 0 0 0 0 0 0 0.03489606975339166 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"岁 土 不及 风乃大行 化气 不令 草木 茂荣 素问 之气 交变 大论 篇亥终 之气 畏火 司令 阳乃 大化 蛰虫 流水 不冰 地气 大发 草 生人 舒其病 温厉 素问 六元 纪大论 篇 湖北 脾胃 最为 虚弱 显发 冬至 小儿 班级 多人甲流 皆 木胜 土弱 八字 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"土运 不及 金运太过 紊乱 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"中医 天地 异常 气机 变化 导致 疫病 现为 暖冬 阳相火 加临 太阳 寒水 导致 阳气 归根 虚火 上浮 体质 下降 暖冬 热 性病 邪 肆虐 二者 合力 疫病 养 正方 治本 阳气 闭藏 邪 自不侵 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"天连 路上 车祸 变多 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"暖冬 诱因 患者 身体 必虚 主因 患者 肝木 疏泄 太多 肾阳 提前 升泄 肺经 收敛 不及 相火 浮越 脾胃 虚弱 交济 无能 升降 失序 再遇 暖冬 疏泄 太过 大气 肾阳 所化 邪 热 相火 逆 热 伤肺 烧 热病 
",0 0 -0.1628374696094811 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"冷 冷 确实 有违 天道 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"虚词 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"一问一答 形式 非常 便于 普通人 读懂 病毒 通报 恐慌 
",0 0 0 0 0 0 -0.06443043713127507 0 0 0 0 0 0 0 0 0 0 0 0 0.03351384540645546 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"截止 密切接触 包括 医务人员 未 发现 相关 
",0 0 0 0 0 0 0 0.05427426275605891 0 0 0 0.04923757911955359 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025067901323520443 0 0 0 0 0 0.02319903129866935 0 0 0 0 0 0 0 0 0 0 
"平安 健康 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.028310105987832214 0 0 0.02672254930743709 0 0 0 0 0 0 0 0 0 0 0 
"问答 形式 便于 进展 不必要 恐慌 通报 赞愿 平平安安 健健康康 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03351384540645546 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"健康 快 过年 祝 平安 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03178373862437604 0 0.023602530176649275 0.03000138971325759 0 0 0 0 0 0 0 0 0 0 0 
"阅 事件 描述 清晰 思路 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"没想到 有人 死亡 希望 平安 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.034890169380622726 0 0 0 0 -0.030361426171328334 0 0 0 0 0 0 0 0 0 0 0 0.024836473351288385 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"不信谣 传谣 早 发现 早 治疗 平平安安 
",0 0 0 0 0 0 0 0 0 0 0 0.059567141172606794 0 0 0 0 0.044671035732396336 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025262666584745425 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"关注点 在于 海鲜 市场 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03489606975339166 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"通报 恐慌 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03351384540645546 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"早安 健康 快 过年 祝 平安 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03324266433172446 0 0.023602530176649275 0.03137850268370221 0 0 0 0 0 0 0 0 0 0 0 
"早 发现 早 诊断 早隔离 早 治疗 
",0 0 0 0 0 0 0 0 0 0 0 0.05757009250901651 0 0 0 0 0.04317339407200386 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.021749405625345046 0 0 0 0 0 0 0 
"通报 遏制 谣言 密切接触 发现 相关 案例 辛苦 
",0 0 0 0 0 0 0 0.05427426275605891 0 0 0 0.04923757911955359 0 0 0 0 0 0 0 0.03351384540645546 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025067901323520443 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"医生 技术人员 战胜 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"诊断 治疗 实时 通报 专业 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04004900371152989 0 0 0.03351384540645546 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.021749405625345046 0 0 0 0 0 0 0 
